6.792	1.5E-04
6.802	1.5E-04
6.812	4.0E-04
7.0	2.0E-04
7.021	5.0E-05
7.052	1.0E-04
7.062	3.5E-04
7.073	3.5E-04
7.156	5.0E-05
7.26	1.5E-04
7.281	3.0E-04
7.312	1.0E-04
7.323	5.0E-05
7.333	3.0E-04
7.365	1.5E-04
7.396	3.0E-04
7.417	6.5E-04
7.427	3.5E-04
7.438	5.0E-05
7.448	2.5E-04
7.458	1.0E-04
7.688	5.0E-05
8.677	3.0E-04
8.688	1.5E-04
8.75	2.5E-04
8.76	5.0E-04
8.792	5.0E-05
8.958	1.0E-04
8.969	5.5E-04
8.979	5.5E-04
8.99	5.0E-05
9.0	2.0E-04
9.01	5.0E-05
9.021	3.0E-04
9.031	5.0E-05
9.042	1.0E-04
9.062	3.5E-04
9.083	5.0E-05
9.302	5.0E-05
9.385	1.0E-04
9.396	1.5E-04
9.427	1.0E-04
9.458	5.0E-05
9.49	1.0E-04
9.51	5.0E-05
9.552	5.0E-05
10.271	1.5E-04
10.521	5.0E-05
11.542	1.0E-04
11.615	1.5E-04
11.625	3.0E-04
11.646	2.0E-04
11.656	1.5E-04
11.677	1.5E-04
11.688	5.0E-05
11.74	1.1E-03
11.75	1.0E-03
11.76	4.5E-04
11.771	3.0E-04
11.792	5.0E-04
11.802	5.0E-05
11.812	1.5E-04
11.823	3.0E-03
11.833	7.1E-03
11.844	3.6E-03
11.854	1.5E-04
11.865	5.5E-04
11.875	2.0E-04
11.885	1.0E-04
11.896	5.0E-05
11.906	2.0E-04
11.917	5.0E-05
11.927	1.5E-04
11.938	1.1E-03
11.948	4.5E-04
11.958	1.5E-04
11.969	3.5E-04
11.979	5.0E-05
12.031	1.0E-04
12.042	1.5E-04
12.177	2.0E-04
12.292	1.5E-04
12.312	5.0E-05
12.323	3.0E-04
12.333	1.5E-04
12.344	2.5E-04
12.365	3.5E-04
12.5	5.0E-05
13.01	5.0E-05
13.479	5.0E-05
32.125	1.0E-04
32.167	5.0E-05
42.188	5.0E-05
58.583	2.0E-04
59.312	5.0E-05
60.865	1.5E-04
63.552	1.5E-04
67.281	5.0E-05
67.292	1.5E-04
67.302	2.5E-03
67.312	9.0E-04
67.323	1.6E-03
67.333	3.5E-04
67.344	5.0E-04
67.354	1.0E-04
75.656	3.0E-04
75.667	1.5E-04
75.76	1.5E-04
75.771	5.0E-05
75.781	1.5E-04
75.906	3.0E-04
75.917	9.0E-04
76.104	1.5E-04
76.115	7.0E-04
76.125	5.0E-05
76.323	5.0E-05
81.615	2.0E-04
81.625	5.0E-05
82.083	1.0E-04
82.135	4.5E-04
82.146	1.5E-04
82.406	5.0E-05
82.594	1.5E-04
83.698	1.0E-04
83.708	1.0E-03
83.719	2.5E-04
83.729	6.0E-04
83.74	3.0E-04
83.75	2.0E-04
83.76	5.0E-05
84.458	5.0E-05
84.604	1.5E-04
90.646	2.0E-04
90.729	1.0E-04
90.74	1.0E-04
90.75	3.5E-04
90.76	1.5E-04
90.771	5.0E-05
90.781	1.0E-04
90.875	5.0E-05
90.958	5.0E-05
91.438	1.5E-04
95.094	4.5E-04
95.104	3.0E-04
95.125	3.0E-04
95.135	8.5E-04
95.146	8.0E-04
95.156	1.3E-03
95.167	2.6E-03
95.177	2.2E-03
95.188	1.0E-03
95.198	1.1E-03
95.208	5.5E-04
95.219	1.5E-04
95.229	3.5E-04
95.24	2.5E-04
95.302	5.0E-05
95.51	6.5E-04
95.521	5.0E-05
95.656	1.5E-04
95.698	3.0E-04
95.719	1.5E-04
95.729	1.0E-04
95.74	3.5E-04
95.75	1.0E-04
95.76	3.0E-04
95.771	4.5E-04
95.781	7.0E-04
95.792	2.0E-04
95.802	5.0E-05
95.812	8.0E-04
95.823	3.5E-04
95.833	8.0E-04
95.844	5.5E-04
95.854	5.0E-05
95.865	8.0E-04
95.875	7.5E-04
95.885	2.5E-04
95.896	2.5E-04
95.906	5.5E-04
95.917	3.0E-04
95.927	2.1E-03
95.938	1.9E-03
95.948	3.0E-04
95.958	1.0E-03
95.969	5.5E-04
95.979	1.5E-04
96.0	2.0E-04
96.01	4.5E-04
96.021	5.0E-04
96.042	3.0E-04
96.052	1.5E-04
96.062	1.5E-04
96.073	5.0E-05
96.083	1.5E-04
96.094	5.0E-05
96.125	1.0E-04
96.135	5.0E-05
96.177	5.0E-05
96.198	4.0E-04
96.219	5.0E-05
96.229	5.0E-05
